,title,artist,top genre,year,bpm,duration,acousticness,popularity,country
221,Let It Snow! Let It Snow! Let It Snow!,Dean Martin,adult standards,1959,134.0,117,91.0,89,belgium
222,Have Yourself A Merry Little Christmas,Sam Smith,pop,2014,75.0,171,96.0,89,belgium
467,Señorita,Shawn Mendes,canadian pop,2019,117.0,191,4.0,89,colombia
466,Hola - Remix,Dalex,latin,2019,182.0,250,47.0,89,colombia
659,Let It Snow! Let It Snow! Let It Snow!,Dean Martin,adult standards,1959,134.0,117,91.0,89,france
67,Señorita,Shawn Mendes,canadian pop,2019,117.0,191,4.0,89,africa
66,Have Yourself A Merry Little Christmas,Sam Smith,pop,2014,75.0,171,96.0,89,africa
617,The Box,Roddy Ricch,melodic rap,2019,117.0,197,10.0,89,usa
117,Hola - Remix,Dalex,latin,2019,182.0,250,47.0,89,argentina
618,Let It Snow! Let It Snow! Let It Snow!,Dean Martin,adult standards,1959,134.0,117,91.0,89,usa
118,Señorita,Shawn Mendes,canadian pop,2019,117.0,191,4.0,89,argentina
361,The Christmas Song (Merry Christmas To You),Nat King Cole,adult standards,1962,79.0,192,92.0,89,canada
362,White Christmas,Bing Crosby,adult standards,1942,131.0,177,67.0,89,canada
363,Let It Snow! Let It Snow! Let It Snow!,Dean Martin,adult standards,1959,134.0,117,91.0,89,canada
364,Have Yourself A Merry Little Christmas,Sam Smith,pop,2014,75.0,171,96.0,89,canada
167,Have Yourself A Merry Little Christmas,Sam Smith,pop,2014,75.0,171,96.0,89,australia
166,The Christmas Song (Merry Christmas To You),Nat King Cole,adult standards,1962,79.0,192,92.0,89,australia
165,White Christmas,Bing Crosby,adult standards,1942,131.0,177,67.0,89,australia
365,The Box,Roddy Ricch,melodic rap,2019,117.0,197,10.0,89,canada
270,Señorita,Shawn Mendes,canadian pop,2019,117.0,191,4.0,89,bolivia
269,Hola - Remix,Dalex,latin,2019,182.0,250,47.0,89,bolivia
615,The Christmas Song (Merry Christmas To You),Nat King Cole,adult standards,1962,79.0,192,92.0,89,usa
616,White Christmas,Bing Crosby,adult standards,1942,131.0,177,67.0,89,usa
223,Señorita,Shawn Mendes,canadian pop,2019,117.0,191,4.0,89,belgium
567,Hola - Remix,Dalex,latin,2019,182.0,250,47.0,89,spain
758,It's You,Ali Gatie,canadian hip hop,2019,96.0,213,37.0,90,indonesia
465,Aventura,Lunay,latin,2019,92.0,217,22.0,90,colombia
464,Si Te Vas,Sech,panamanian pop,2019,174.0,205,9.0,90,colombia
864,Ayy Macarena,Tyga,pop rap,2019,96.0,132,13.0,90,italy
565,Si Te Vas,Sech,panamanian pop,2019,174.0,205,9.0,90,spain
463,Tutu,Camilo,colombian pop,2019,146.0,179,27.0,90,colombia
