,title,artist,top genre,year,bpm,duration,acousticness,popularity,country
206,Don't Start Now,Dua Lipa,dance pop,2019,124.0,183,1.0,97,belgium
156,Falling,Trevor Daniel,alternative r&b,2018,127.0,159,12.0,97,australia
451,RITMO (Bad Boys For Life),The Black Eyed Peas,dance pop,2019,105.0,222,3.0,97,colombia
754,Falling,Trevor Daniel,alternative r&b,2018,127.0,159,12.0,97,indonesia
753,Lose You To Love Me,Selena Gomez,dance pop,2019,102.0,206,58.0,97,indonesia
7,RITMO (Bad Boys For Life),The Black Eyed Peas,dance pop,2019,105.0,222,3.0,97,world
8,Don't Start Now,Dua Lipa,dance pop,2019,124.0,183,1.0,97,world
6,Falling,Trevor Daniel,alternative r&b,2018,127.0,159,12.0,97,world
603,Falling,Trevor Daniel,alternative r&b,2018,127.0,159,12.0,97,usa
502,RITMO (Bad Boys For Life),The Black Eyed Peas,dance pop,2019,105.0,222,3.0,97,chile
403,Falling,Trevor Daniel,alternative r&b,2018,127.0,159,12.0,97,germany
553,RITMO (Bad Boys For Life),The Black Eyed Peas,dance pop,2019,105.0,222,3.0,97,spain
703,Falling,Trevor Daniel,alternative r&b,2018,127.0,159,12.0,97,india
54,All I Want for Christmas Is You,Mariah Carey,dance pop,1994,150.0,241,16.0,98,africa
402,All I Want for Christmas Is You,Mariah Carey,dance pop,1994,150.0,241,16.0,98,germany
552,All I Want for Christmas Is You,Mariah Carey,dance pop,1994,150.0,241,16.0,98,spain
352,All I Want for Christmas Is You,Mariah Carey,dance pop,1994,150.0,241,16.0,98,canada
602,All I Want for Christmas Is You,Mariah Carey,dance pop,1994,150.0,241,16.0,98,usa
653,All I Want for Christmas Is You,Mariah Carey,dance pop,1994,150.0,241,16.0,98,france
251,All I Want for Christmas Is You,Mariah Carey,dance pop,1994,150.0,241,16.0,98,bolivia
955,everything i wanted,Billie Eilish,electropop,2019,120.0,245,90.0,98,malaysia
204,All I Want for Christmas Is You,Mariah Carey,dance pop,1994,150.0,241,16.0,98,belgium
954,All I Want for Christmas Is You,Mariah Carey,dance pop,1994,150.0,241,16.0,98,malaysia
853,All I Want for Christmas Is You,Mariah Carey,dance pop,1994,150.0,241,16.0,98,italy
205,everything i wanted,Billie Eilish,electropop,2019,120.0,245,90.0,98,belgium
154,All I Want for Christmas Is You,Mariah Carey,dance pop,1994,150.0,241,16.0,98,australia
4,All I Want for Christmas Is You,Mariah Carey,dance pop,1994,150.0,241,16.0,98,world
5,everything i wanted,Billie Eilish,electropop,2019,120.0,245,90.0,98,world
501,All I Want for Christmas Is You,Mariah Carey,dance pop,1994,150.0,241,16.0,98,chile
951,Memories,Maroon 5,pop,2019,91.0,189,84.0,99,malaysia
1,ROXANNE,Arizona Zervas,pop rap,2019,117.0,164,5.0,99,world
2,Memories,Maroon 5,pop,2019,91.0,189,84.0,99,world
